,t,vb,vg,qe,dcr,dt,ap,bif
0,-50.0,74.54556983251292,0.0,0.05,90.80131846320587,6.1350000000009806e-06,0.1616679939201925,0.03607538931398059
1,-50.0,74.60734412723808,100.0,0.05,122.94188026093687,6.065000000000969e-06,0.18319390498960433,0.030621401124067228
2,-50.0,74.2615891605335,200.0,0.05,95.22995402453225,6.220000000000994e-06,0.10631085093429975,0.02104010552934002
3,-50.0,73.80083590956254,300.0,0.05,39.621266020595655,5.985000000000957e-06,0.05963784088660791,0.01532211280497311
4,-50.0,73.59916584890868,400.0,0.05,53.59221757089976,5.920000000000946e-06,0.17322216433399798,0.02048949038054347
5,-50.0,73.24548884400909,500.0,0.05,36.9018891439466,5.780000000000924e-06,0.1452738164731311,0.017729315615671523
6,-50.0,73.05352919652653,600.0,0.05,34.51579615380269,5.7400000000009174e-06,0.10952980400049529,0.01230704249672706
7,-50.0,72.66587238089966,700.0,0.05,28.62850942711581,5.945000000000951e-06,0.09440112584412069,0.017008166598502728
8,-50.0,72.09419161175272,800.0,0.05,28.448981905570623,5.700000000000911e-06,0.20370738225012955,0.009309965022298385
9,-50.0,71.8775742182432,900.0,0.05,20.591434886035014,5.810000000000928e-06,0.15373269754175378,0.00615725795590777
10,-50.0,71.46166961070267,1000.0,0.05,16.784917063999153,5.730000000000915e-06,0.1812739068857941,0.007733425352799993
11,-45.0,75.0949998031146,0.0,0.05,137.98176141518064,6.330000000001013e-06,0.09614640356138261,0.03819615288627258
12,-45.0,74.63758921589913,100.0,0.05,68.20546870042928,5.985000000000957e-06,0.03625193486555245,0.008293305471106939
13,-45.0,74.67704165715212,200.0,0.05,149.98730864464287,6.100000000000975e-06,0.030454677838154566,0.014172803163378751
14,-45.0,74.15496746881009,300.0,0.05,101.78324588964563,6.055000000000968e-06,0.0134085308169982,0.011615484031619385
15,-45.0,73.83447337501033,400.0,0.05,84.03385376892734,6.220000000000994e-06,0.0339526210079753,0.01347917779378148
16,-45.0,73.56275730127507,500.0,0.05,81.39818916522009,5.930000000000946e-06,0.034576323473477076,0.013516842665348446
17,-45.0,73.2280225285058,600.0,0.05,75.74459222555194,5.995000000000958e-06,0.006536414886777926,0.00965334624124751
18,-45.0,72.93402206162835,700.0,0.05,64.36728771075705,5.960000000000953e-06,0.010780990766354121,0.005529775484585051
19,-45.0,72.68736654964543,800.0,0.05,57.55016233382111,6.170000000000985e-06,0.004009923388191173,0.0066616020752992555
20,-45.0,72.5066433998366,900.0,0.05,58.55448751199522,6.175000000000987e-06,0.029044970704096583,0.009971439596398955
21,-45.0,72.29080987458215,1000.0,0.05,53.170450977713884,6.535000000001045e-06,0.002304875147832882,0.009329808385295119
22,-40.0,75.51147597832117,0.0,0.05,148.7226248235284,6.335000000001012e-06,0.02039781656354811,0.01920029010450772
23,-40.0,75.31864617105204,100.0,0.05,183.46453099964907,6.4350000000010285e-06,0.1593751379464458,0.015613664477306877
24,-40.0,74.90328642210821,200.0,0.05,126.19065167615142,6.200000000000992e-06,0.009131358622925185,0.013639972666612923
25,-40.0,74.61491517324598,300.0,0.05,127.62211704993447,6.470000000001034e-06,0.03733347970241872,0.005686946927767992
26,-40.0,74.42044288163972,400.0,0.05,141.71544598118803,6.225000000000995e-06,0.03496821171356602,0.009879067810629059
27,-40.0,74.07278632606753,500.0,0.05,131.18343294724784,6.470000000001034e-06,0.014043854622882521,0.004983138347692846
28,-40.0,73.77503972787929,600.0,0.05,101.64316295771607,3.855000000000616e-06,0.03212646161461122,0.012898682462901705
29,-40.0,73.50578562551861,700.0,0.05,98.81819479728796,6.335000000001012e-06,0.04204536076016474,0.0070767824098460965
30,-40.0,73.40478808664153,800.0,0.05,139.74442690734273,5.910000000000944e-06,0.04897139677970883,0.010338076315257934
31,-40.0,73.11589794328576,900.0,0.05,109.92560079939707,6.130000000000979e-06,0.03432986466566137,0.006482693076292528
32,-40.0,72.89659614703618,1000.0,0.05,106.5155038969113,3.915000000000626e-06,0.012756813445489226,0.006655673010082115
33,-50.0,74.58594640756537,0.0,0.06,104.19099176562732,6.1350000000009806e-06,0.21438388209478665,0.03740698423900601
34,-50.0,74.66562511314363,100.0,0.06,141.4560253533692,6.065000000000969e-06,0.27037536574365506,0.031928769474213456
35,-50.0,74.34644808363602,200.0,0.06,104.42629505805917,6.220000000000994e-06,0.17371662373451013,0.022653515806987885
36,-50.0,73.87720071242315,300.0,0.06,44.775110777523125,5.985000000000957e-06,0.07814248773007976,0.016462580703956464
37,-50.0,73.654590309515,400.0,0.06,53.8697561818478,5.920000000000946e-06,0.2032719310275375,0.02132119470576528
38,-50.0,73.31627284416659,500.0,0.06,45.38292142088126,5.780000000000924e-06,0.17993771967798228,0.01873163132256992
39,-50.0,73.15185003379244,600.0,0.06,50.220479744195146,5.7400000000009174e-06,0.16394330565085907,0.013762295258938266
40,-50.0,72.76941702855116,700.0,0.06,33.09570226105686,5.945000000000951e-06,0.1381022700375149,0.01843795122151978
41,-50.0,72.31302993410326,800.0,0.06,34.13877828668475,5.700000000000911e-06,0.24444885870015548,0.011585200618006886
42,-50.0,72.09058906189183,900.0,0.06,24.709721863242017,5.810000000000928e-06,0.18447923705010452,0.007812562640680048
43,-50.0,71.5977635328432,1000.0,0.06,20.141900476798984,5.730000000000915e-06,0.2175286882629529,0.008810063886796083
44,-45.0,75.14097612981315,0.0,0.06,159.5115299338554,6.330000000001013e-06,0.13164367857596915,0.03945943129045053
45,-45.0,74.73287168786779,100.0,0.06,87.35131035521579,5.985000000000957e-06,0.05599343208099214,0.009694714105041947
46,-45.0,74.7743107884484,200.0,0.06,178.0072230098285,6.100000000000975e-06,0.04884760905669089,0.015853557978360494
47,-45.0,74.22915596999039,300.0,0.06,117.84736320587629,6.055000000000968e-06,0.02039885660705374,0.012544794824946503
48,-45.0,73.89600986002141,400.0,0.06,96.73092121362852,6.220000000000994e-06,0.04131456649341043,0.014180992028482019
49,-45.0,73.62907413185705,500.0,0.06,96.34937842468662,5.930000000000946e-06,0.04500033944875495,0.014208531436077289
50,-45.0,73.31071900213706,600.0,0.06,95.7885283449216,5.995000000000958e-06,0.010797914502617492,0.010390401861025808
51,-45.0,73.0122791417694,700.0,0.06,76.3332021054126,5.960000000000953e-06,0.015278708124359965,0.006168037890487671
52,-45.0,72.78050998847914,800.0,0.06,64.26635864089349,6.170000000000985e-06,0.005797370104013644,0.007494630407266569
53,-45.0,72.57097506671951,900.0,0.06,70.56244445527281,6.175000000000987e-06,0.03800470121930826,0.010559090092029934
54,-45.0,72.34969922241426,1000.0,0.06,60.67000406730894,6.535000000001045e-06,0.003011630550079982,0.009778204228769915
55,-40.0,75.55518617248968,0.0,0.06,170.83010480412838,6.335000000001012e-06,0.028567350827230012,0.020716648209992514
56,-40.0,75.4064673901204,100.0,0.06,210.7370615993784,6.4350000000010285e-06,0.21706715427229586,0.016773541945922912
57,-40.0,74.99585433376215,200.0,0.06,173.75519126118644,6.200000000000992e-06,0.015170868431376792,0.014582555158678543
58,-40.0,74.6893524519665,300.0,0.06,142.61865885400178,6.470000000001034e-06,0.05094800292217202,0.006378232634795094
59,-40.0,74.4874819129077,400.0,0.06,159.0437900892291,6.225000000000995e-06,0.044658934613145504,0.010582438906899902
60,-40.0,74.1477459149905,500.0,0.06,154.42336477796835,6.470000000001034e-06,0.020425442306298933,0.005654227433245748
61,-40.0,73.84380523686859,600.0,0.06,119.14038765291969,3.855000000000616e-06,0.04081159784711999,0.013484529918390829
62,-40.0,73.58379993836814,700.0,0.06,120.9429271833454,6.335000000001012e-06,0.054580907650495426,0.007754738981809947
63,-40.0,73.4796418989227,800.0,0.06,163.5596825974563,5.910000000000944e-06,0.06317147855821202,0.010979218271153527
64,-40.0,73.17910412878435,900.0,0.06,120.90974368131975,6.130000000000979e-06,0.04427711691436708,0.007040127203991236
65,-40.0,72.94774267355803,1000.0,0.06,111.73140642163477,3.915000000000626e-06,0.015196581996498966,0.007062601180641974
66,-50.0,74.62703522000936,0.0,0.07,120.29780624367177,6.1350000000009806e-06,0.2840421948795425,0.038812538449028405
67,-50.0,74.72390609904919,100.0,0.07,159.97017044580153,6.065000000000969e-06,0.35755682649770576,0.03329195538790092
68,-50.0,74.43185479803056,200.0,0.07,113.3277079680773,6.220000000000994e-06,0.24347070680776073,0.024402282468774513
69,-50.0,73.94579103438818,300.0,0.07,50.61697186672858,5.985000000000957e-06,0.11137281766549585,0.017559126503233085
70,-50.0,73.71601173822873,400.0,0.07,60.564300172661724,5.920000000000946e-06,0.2556192357976381,0.022282384583213438
71,-50.0,73.3858965606715,500.0,0.07,53.923964329371714,5.780000000000924e-06,0.22147229782622704,0.0197727799669938
72,-50.0,73.25017087105836,600.0,0.07,65.92516333458761,5.7400000000009174e-06,0.21835680730122287,0.015389625155236446
73,-50.0,72.90412704402036,700.0,0.07,37.74931579685102,5.945000000000951e-06,0.20826083352971894,0.020479478511351082
74,-50.0,72.50929604910614,800.0,0.07,39.827283058626705,5.700000000000911e-06,0.2879631183981189,0.01409499176175351
75,-50.0,72.30360390554047,900.0,0.07,28.82800884044902,5.810000000000928e-06,0.21522577655845526,0.009912876064577839
76,-50.0,71.73385745498373,1000.0,0.07,23.498883889598815,5.730000000000915e-06,0.2537834696401117,0.010036590792374572
77,-45.0,75.17903852717353,0.0,0.07,182.62513085458772,6.330000000001013e-06,0.19067990002358193,0.04053681376358145
78,-45.0,74.80516807149084,100.0,0.07,109.74279544587968,5.985000000000957e-06,0.08817723826241153,0.010914011416141522
79,-45.0,74.84938222183584,200.0,0.07,201.28772338043083,6.100000000000975e-06,0.07810350034199703,0.01728584337788401
80,-45.0,74.2959601686023,300.0,0.07,129.456831683617,6.055000000000968e-06,0.028756341393247647,0.013445060284347155
81,-45.0,73.96075041357068,400.0,0.07,105.65246806795382,6.220000000000994e-06,0.056024503829373636,0.014958827882618984
82,-45.0,73.69539096243903,500.0,0.07,111.30056768415315,5.930000000000946e-06,0.05542435542403283,0.014935615555216815
83,-45.0,73.39362816783894,600.0,0.07,116.1994504773356,5.995000000000958e-06,0.015285855528102563,0.011185850008497578
84,-45.0,73.09641134813901,700.0,0.07,89.19745384388737,5.960000000000953e-06,0.022360658680816225,0.006936622743552409
85,-45.0,72.86973831413661,800.0,0.07,87.7980483998596,6.170000000000985e-06,0.010111552741708213,0.008390171791880546
86,-45.0,72.6295935328595,900.0,0.07,82.57176476080595,6.175000000000987e-06,0.04743027763547984,0.011124655764040038
87,-45.0,72.41892734621379,1000.0,0.07,72.0497418135544,6.535000000001045e-06,0.004423237530909155,0.010332955808730305
88,-40.0,75.66690857359461,0.0,0.07,286.6903726166262,6.335000000001012e-06,0.07740753335984563,0.025159195647209615
89,-40.0,75.46528630606485,100.0,0.07,233.1986540959648,6.4350000000010285e-06,0.2834132669606178,0.01759817323199413
90,-40.0,75.07834762023228,200.0,0.07,211.75832890883967,6.200000000000992e-06,0.022053144741860736,0.015477305360171563
91,-40.0,74.75942913041534,300.0,0.07,153.20070761305502,6.470000000001034e-06,0.06618567738944334,0.00710563618495073
92,-40.0,74.54740185092895,400.0,0.07,175.5656916197544,6.225000000000995e-06,0.05687363207039152,0.011253395998239102
93,-40.0,74.22163696407358,500.0,0.07,179.65830149791321,6.470000000001034e-06,0.027882994106318323,0.006404149065317752
94,-40.0,73.94374620632921,600.0,0.07,155.58820421096902,3.855000000000616e-06,0.058537868828506395,0.014383738333475369
95,-40.0,73.65615093877221,700.0,0.07,147.03290041839807,6.335000000001012e-06,0.07179227435418013,0.008441396482674383
96,-40.0,73.57355952010607,800.0,0.07,200.75272149529,5.910000000000944e-06,0.09172649799015205,0.011840180851351563
97,-40.0,73.23350992840413,900.0,0.07,129.511451131087,6.130000000000979e-06,0.05430632901353234,0.007558185107360409
98,-40.0,73.00263037321481,1000.0,0.07,118.73747336445768,3.915000000000626e-06,0.018349408056823426,0.0075270112172433545
99,-50.0,74.66812403245336,0.0,0.08,136.40462072171624,6.1350000000009806e-06,0.35370050766429834,0.04027090586165244
100,-50.0,74.75872111387845,100.0,0.08,166.66829339387536,6.065000000000969e-06,0.4987410915907693,0.0341338858380657
101,-50.0,74.5188737990027,200.0,0.08,136.80215438371454,6.220000000000994e-06,0.39468760068383946,0.02632297310878027
102,-50.0,74.0143813563532,300.0,0.08,56.45883295593404,5.985000000000957e-06,0.14460314760091192,0.0187287114396614
103,-50.0,73.78273592075216,400.0,0.08,72.93301136187354,5.920000000000946e-06,0.3276828960434599,0.023375725636888074
104,-50.0,73.45140124347289,500.0,0.08,62.678046362735564,5.780000000000924e-06,0.2873979303473833,0.02080511109622206
105,-50.0,73.32907809250982,600.0,0.08,77.13148442780545,5.7400000000009174e-06,0.3044169302615416,0.016833772984266974
106,-50.0,72.96234751086881,700.0,0.08,46.787044751793545,5.945000000000951e-06,0.2661352113624447,0.021430361652349916
107,-50.0,72.57313172815644,800.0,0.08,45.50820999987113,5.700000000000911e-06,0.3477452108636446,0.015023239228597364
108,-50.0,72.38208671524089,900.0,0.08,38.509165577086556,5.810000000000928e-06,0.27247033674571136,0.010821773985437412
109,-50.0,71.86995137712427,1000.0,0.08,26.855867302398647,5.730000000000915e-06,0.29003825101727054,0.011433873355282922
110,-45.0,75.21710092453391,0.0,0.08,205.73873177532002,6.330000000001013e-06,0.24971612147119465,0.04164361260069557
111,-45.0,74.87665833980081,100.0,0.08,132.2481042909452,5.985000000000957e-06,0.12079739253563837,0.01227043990308968
112,-45.0,74.91214905908669,200.0,0.08,221.9410785683704,6.100000000000975e-06,0.11338093210498452,0.01858221567288601
113,-45.0,74.36276436721421,300.0,0.08,141.0663001613577,6.055000000000968e-06,0.037113826179441554,0.01440993245184442
114,-45.0,74.02711394284773,400.0,0.08,112.66157821723534,6.220000000000994e-06,0.07445646280101106,0.0158004657774921
115,-45.0,73.77201465609492,500.0,0.08,128.56865059725465,5.930000000000946e-06,0.07862422538355754,0.01582215339317163
116,-45.0,73.46503266555564,600.0,0.08,131.74467402485263,5.995000000000958e-06,0.02160878079708068,0.011919558213825015
117,-45.0,73.17899830862623,700.0,0.08,102.40323007104145,5.960000000000953e-06,0.02992056949769249,0.00778417136625453
118,-45.0,72.95896663979407,800.0,0.08,111.32973815882568,6.170000000000985e-06,0.014425735379402782,0.009392722372141775
119,-45.0,72.68821199899948,900.0,0.08,94.58108506633909,6.175000000000987e-06,0.05685585405165142,0.011720514247889691
120,-45.0,72.5022794802999,1000.0,0.08,88.73027804667676,6.535000000001045e-06,0.006797756463574665,0.01104280760779553
121,-40.0,75.69797481796638,0.0,0.08,304.2124894236468,6.335000000001012e-06,0.11620462024310338,0.02655579041656979
122,-40.0,75.5241052220093,100.0,0.08,255.66024659255123,6.4350000000010285e-06,0.34975937964893966,0.018463345553474342
123,-40.0,75.13493921120127,200.0,0.08,225.1792595734258,6.200000000000992e-06,0.031102159855611378,0.016122666416234895
124,-40.0,74.83262151481395,300.0,0.08,173.1827907442302,6.470000000001034e-06,0.08525624714079656,0.00795409794553151
125,-40.0,74.59770731574038,400.0,0.08,190.9984768417753,6.225000000000995e-06,0.07249700601576742,0.011849434482265974
126,-40.0,74.29183660521991,500.0,0.08,201.98444127237207,6.470000000001034e-06,0.03632451405933895,0.007208542856549331
127,-40.0,74.02856650155584,600.0,0.08,183.80457491080574,3.855000000000616e-06,0.07745847515582477,0.015193786028122477
128,-40.0,73.72850193917628,700.0,0.08,173.12287365345074,6.335000000001012e-06,0.08900364105786485,0.009188855323803058
129,-40.0,73.68510115036929,800.0,0.08,250.31318255574297,5.910000000000944e-06,0.13355229415105568,0.012950837262481854
